Item Name,SKU,Rate,Purchase Rate,Item Type,Product Type,Status,Account,Purchase Account
Crimson Paisley Suit,01-crimson-paisley-suit,13990,8200,Inventory,goods,Active,Sales,Cost of Goods Sold
Powder Blue Floral Suit,02-powder-blue-floral-suit,9590,6000,Inventory,goods,Active,Sales,Cost of Goods Sold
Sky Blue Striped Sequin Suit,04-sky-blue-striped-sequin-suit,10990,6800,Inventory,goods,Active,Sales,Cost of Goods Sold
Pearl Cluster Chikankari Suit,06-pearl-cluster-chikankari-suit,11990,6800,Inventory,goods,Active,Sales,Cost of Goods Sold
Oatmeal Medallion Suit,07-oatmeal-medallion-suit,14990,9800,Inventory,goods,Active,Sales,Cost of Goods Sold
Oatmeal Collared Chikankari Co-ord Set,09-oatmeal-collared-chikankari-suit,9990,5500,Inventory,goods,Active,Sales,Cost of Goods Sold
Cornflower Blue Sunflower Suit,10-cornflower-blue-sunflower-suit,15990,9700,Inventory,goods,Active,Sales,Cost of Goods Sold
Blush Pink Mul Suit,13-blush-pink-mul-suit,9990,6200,Inventory,goods,Active,Sales,Cost of Goods Sold
Ivory Mul Suit with Beige Chikankari,14-ivory-mul-beige-chikankari-suit,15000,8800,Inventory,goods,Active,Sales,Cost of Goods Sold
Navy Mul Chikankari Suit,15-navy-mul-chikankari-suit,10990,6500,Inventory,goods,Active,Sales,Cost of Goods Sold
Ivory Mul Paisley Suit,16-ivory-mul-paisley-suit,9000,5800,Inventory,goods,Active,Sales,Cost of Goods Sold
White Tonal Chikankari Suit,18-white-tonal-chikankari-suit,8000,4800,Inventory,goods,Active,Sales,Cost of Goods Sold
Ivory Peach-Butti Chikankari Men's Kurta Unstitched,19-ivory-peach-butti-chikankari-suit,6090,3600,Inventory,goods,Active,Sales,Cost of Goods Sold
Blush Pink Chikankari Suit,20-blush-pink-chikankari-suit,10000,6000,Inventory,goods,Active,Sales,Cost of Goods Sold
Black Chikankari Suit,21-black-chikankari-suit,10990,6800,Inventory,goods,Active,Sales,Cost of Goods Sold
Mehendi Green Chikankari Suit,22-green-chikankari-suit,13990,8200,Inventory,goods,Active,Sales,Cost of Goods Sold
